[7.85441235 8.02132405 7.98336248 7.83465329]   [0.88135219 0.94488189 1.07086614 1.04685653]
[7.04240126 7.00787402 6.88188976 6.9117678 ]   [5.87753987 6.00891424 5.97681121 5.85951934]
[1.74745447 1.87527622 1.8964825  1.77774071]   [1.58580606 1.57480315 1.7007874  1.72033155]
[4.04662387 4.05897754 4.1566561  4.1607012 ]   [5.80974025 5.71286139 5.69649872 5.81148824]
[1.66141732 1.80623274 1.9077237  1.78740157]   [3.17707361 2.96231153 3.06789378 3.17515763]
[7.65926241 7.70772793 7.61155149 7.56758007]   [4.98228908 5.07741318 5.1176315  5.02918508]
[7.73841818 7.63547799 7.61155149 7.70772793]   [5.20960284 5.18569665 5.1176315  5.07741318]
[3.27559055 3.27526158 3.14857688 3.1496063 ]   [0.00268375 0.12943593 0.12979354 0.00155013]
[7.3333186  7.36507043 7.32520029 7.19838017]   [5.82610386 5.89568888 5.97287156 5.89434523]
[7.73841818 7.70772793 7.82941591 7.89567657]   [5.20960284 5.07741318 4.99859794 5.15222203]
[7.89327583 7.89261646 7.77791493 7.77805756]   [2.83581678 2.95626712 2.95708039 2.83492681]
[6.95835393 6.92913385 7.05511811 7.09731351]   [ 0.15468593  0.01008452 -0.01604066  0.11553298]
[7.39056754 7.51768715 7.49720129 7.37958701]   [1.1674868  1.17256438 1.29587776 1.28112561]
[3.99236615 4.0955929  4.05338898 3.93614331]   [0.85140586 0.90522002 1.07086614 0.96494439]
[4.28505695 4.30475419 4.24546404 4.17743061]   [2.60539061 2.66669629 2.7222321  2.62682824]
[4.35964503 4.3411997  4.22812719 4.24145253]   [3.19873372 3.30395064 3.27673486 3.16025043]
[7.55827778 7.64523421 7.71700496 7.62565681]   [5.37757887 5.31695748 5.4012301  5.46806664]
[4.20063118 4.23437098 4.34956747 4.32240354]   [5.14178446 5.0216213  5.04322483 5.16343058]
[7.62227408 7.59602873 7.67023671 7.74793951]   [ 0.16169665  0.05298794 -0.02285917  0.09594709]
[0.19549646 0.06331935 0.07432644 0.19033122]   [1.63060629 1.63779528 1.51181102 1.50511077]
[6.608963   6.64547073 6.80057922 6.70962983]   [0.28556072 0.17074868 0.20313614 0.33349066]
[1.63758186 1.77881148 1.79973724 1.67105941]   [0.64942387 0.58718905 0.76514195 0.73451417]
