[1551  633  293  219]
[ 366  238 1298 1376]
[249 986 277 998]
[ 776 1105  248  210]
[ 345 1384 1212  253]
[ 879 1025  222  986]
[1028  283  573 1312]
[ 300 1876 1451 1494]
[605 643 271 379]
[ 259 1145 1951 1784]
[ 244  348 1525   -1]
[ 297  298 1905   11]
[ 285 2220  264 1772]
[ 506 1776 2121  116]
[305 275 906 884]
[1725  439 1707  105]
[  76 1920  281   63]
[1459  338  374 1356]
[1899 2176  185   52]
[848 916 954 721]
[ 684  257 1452  568]
[1224   15 1816 1223]
[ 380 1974  448  362]
[2158 1809 2243 1390]
[ 269  310 1764 1781]
[ 153 2000 2042  220]
[1732 1840 2050 2029]
[ 219 1792  205  213]
[ 298  280 1734 1577]
[1713 2167  280  297]
[1840 1732 1616  467]
[  93  276  348 2301]
[1228 1442  390  651]
[1722 1710  201 1634]
[1973 1749  163 2103]
[  31 1954   -1   35]
[283 822 414 573]
[538 675 994 701]
[975 608 701 994]
[ 514  931 1346  661]
[ 198 1689 2020  464]
[351 342 293 633]
[  56 1919  323 1751]
[ 321 1771  350 2024]
[ 350  472 1496 1676]
[ 393  645 1779  335]
[  67   87 2259 2074]
[ 489 2013 1601 1375]
[ 922  421 1353 1354]
[ 367 1427 1772  264]
[1314  325 1407  717]
[2272 2223  145   -1]
[1867 1868  312 1968]
[ 334 1570  342  329]
[1546 1527  180  311]
[1321 1317  703  383]
[ 520  333 1568  319]
[360  -1  78 382]
[ 193 1392 1036  585]
[ 366 1376 1340 1361]
[1318  482 1314  322]
[2104   48  200   -1]
[1790  348  244 1159]
[842 725 353 769]
[ 325  386 1264  179]
[ 322 1314  717 1684]
[ 369  357  314 1779]
[878 410 155  27]
[1100 1544 1435 1151]
[390 286 752 651]
[2061 1492  343  878]
[2191  400 1467  398]
[ 355 1243  976  428]
[1318  322 1764  310]
[1497 1426  410  339]
[2061   23 2201 1512]
[ 273  404  480 1437]
[ 814  262 1477  802]
[1808   61 2330  152]
[ 279  331  300 1494]
[1190 1389 1299 1460]
[ 312 1351  313 1827]
[ 310 1590 1308 1318]
[1922  407  361 2197]
[609 721 332 210]
[1475 1321  383  227]
[ 789 1196  341  431]
[ 227  383  201 1664]
[ 371 1429  393  335]
[1982 1614 1949  142]
[ 401 2165 2193 2025]
[988  -1 326 196]
[1965  352 1271  400]
[ 291  448 1467 1293]
[848 446 764 916]
[1019 1877 1874 1397]
[ 792  255 1353  421]
[270 328 443 786]
[ 318  464 2225 1566]
[2023 1221  423  720]
[ 335 1634  201  371]
[2115 1857 1942  243]
[ 357  369  422 1141]
[ 449 1657  489 1375]
[605 379 614 658]
[426 466 286 390]
[1070 1053  262  814]
[ 167 1421 1519 1132]
[812 751 721 609]
[1903 1198 1253 2315]
[986 222 373 277]
[1281  903 1680  291]
[2261 2162  197   -1]
[1935  196  326 1783]
[422 356 354 324]
[ 656   46 1902 1606]
